File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
extractEnron66500000,96,146,0.001,0.0471,0,67,28,0
extractEnron53200000,86,163,0.0009,0.0362,0,43,21,0
extractEnron28500000,16,23,0.0002,0.002,0,8,5,0
extractEnron24700000,27,33,0.0003,0.0042,0,16,6,0
extractEnron60800000,99,216,0.0011,0.0564,0,53,26,0
extractEnron87400000,36,81,0.0004,0.0086,0,26,14,0
extractEnron0_1900000,8,9,0.0001,0.0009,0,3,3,0
extractEnron77900000,130,429,0.0024,0.1324,0,62,30,0
extractEnron57000000,85,153,0.0009,0.0376,0,48,23,0
extractEnron96900000,7,9,0.0001,0.0008,0,6,2,0
extractEnron20900000,29,32,0.0003,0.0055,0,20,12,0
extractEnron22800000,20,24,0.0002,0.0031,0,12,8,0
extractEnron89300000,22,62,0.0003,0.0049,0,12,6,0
extractEnron62700000,114,225,0.0015,0.0771,0,70,29,0
extractEnron13300000,8,11,0.0001,0.0009,0,3,2,0
extractEnron19000000,30,38,0.0003,0.0056,0,25,8,0
extractEnron68400000,108,238,0.0015,0.0745,0,58,23,0
extractEnron83600000,104,229,0.0012,0.0657,0,54,33,0
extractEnron5700000,9,11,0.0001,0.0011,0,5,3,0
extractEnron70300000,119,288,0.002,0.0874,0,69,24,0
extractEnron47500000,84,171,0.001,0.0433,0,48,25,0
extractEnron58900000,87,179,0.0009,0.0417,0,44,24,0
extractEnron43700000,71,104,0.0007,0.0266,0,34,22,0
extractEnron93100000,7,10,0.0001,0.0009,0,6,2,0
extractEnron17100000,13,17,0.0002,0.0017,0,8,4,0
extractEnron32300000,37,47,0.0004,0.0087,0,24,14,0
extractEnron38000000,56,83,0.0005,0.0189,0,37,21,0
extractEnron30400000,34,47,0.0004,0.0078,0,19,15,0
extractEnron45600000,85,139,0.0009,0.0388,0,51,24,0
extractEnron26600000,48,63,0.0005,0.0132,0,28,13,0
extractEnron64600000,115,186,0.0012,0.0734,0,75,46,0
extractEnron76000000,129,414,0.0019,0.1029,0,62,31,0
extractEnron3800000,7,9,0.0001,0.0009,0,3,2,0
extractEnron85500000,99,309,0.0016,0.0661,0,50,19,0
extractEnron74100000,129,390,0.002,0.0958,0,62,24,0
extractEnron72200000,118,255,0.0015,0.0853,0,72,40,0
extractEnron39900000,73,128,0.0008,0.0314,0,44,22,0
extractEnron49400000,91,171,0.0011,0.0422,0,57,26,0
extractEnron36100000,52,71,0.0005,0.0139,0,29,16,0
extractEnron81700000,105,218,0.0013,0.0563,0,61,30,0
extractEnron15200000,7,11,0.0001,0.001,0,1,1,0
extractEnron95000000,2,1,0.0001,0.0004,0,1,1,0
extractEnron51300000,70,93,0.0007,0.0286,0,49,28,0
extractEnron79800000,116,328,0.0015,0.0867,0,58,30,0
extractEnron9500000,12,14,0.0001,0.0013,0,3,3,0
extractEnron55100000,90,172,0.0011,0.0394,0,52,19,0
extractEnron11400000,8,10,0.0001,0.0009,0,1,1,0
extractEnron41800000,62,100,0.0006,0.0217,0,35,19,0
extractEnron91200000,3,2,0.0001,0.0005,0,3,1,0
