File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests11_680.point,680,3422,0.0205,3.398,0,179,159,0
tests1_860.point,860,5314,0.0305,6.1176,0,171,159,0
tests19_700.point,700,3608,0.0218,3.2537,0,183,162,0
tests11_580.point,580,2365,0.0151,1.9839,0,175,157,0
tests3_810.point,810,4784,0.0304,5.12,0,174,157,0
tests2_910.point,910,6031,0.0374,7.2033,0,176,166,0
tests6_690.point,690,3384,0.0225,3.2553,0,177,154,0
tests3_870.point,870,5336,0.0339,7.6995,0,177,160,0
tests14_660.point,660,3166,0.0226,3.2137,0,174,152,0
tests14_810.point,810,4618,0.0303,5.4395,0,181,167,0
tests0_600.point,600,2596,0.0176,2.5672,0,175,157,0
tests6_850.point,850,5104,0.0517,7.1492,0,180,162,0
tests2_520.point,520,1912,0.0216,1.745,0,175,153,0
tests0_520.point,520,1911,0.0144,1.726,0,169,157,0
tests10_830.point,830,5000,0.0329,5.7424,0,170,167,0
tests13_740.point,740,3899,0.0248,3.9798,0,181,157,0
tests17_570.point,570,2307,0.0147,2.0808,0,175,157,0
tests16_790.point,790,4461,0.029,4.98,0,182,167,0
tests13_690.point,690,3471,0.0186,3.5079,0,159,159,0
tests6_1000.point,1000,7226,0.0475,10.6332,0,180,165,0
tests6_500.point,500,1728,0.0117,1.4461,0,175,153,0
tests15_560.point,560,2218,0.0148,1.9161,0,168,150,0
tests9_800.point,800,4601,0.0296,5.6129,0,175,167,0
tests12_730.point,730,3900,0.0244,4.0277,0,172,157,0
tests11_540.point,540,2071,0.0156,2.1704,0,170,148,0
tests9_970.point,970,6713,0.0466,9.5955,0,172,168,0
tests14_750.point,750,4076,0.0263,5.0631,0,173,168,0
tests15_820.point,820,4938,0.0306,5.5128,0,172,165,0
tests16_570.point,570,2362,0.0446,4.4011,0,164,161,0
tests4_1000.point,1000,7190,0.0476,14.3614,0,174,160,0
tests5_910.point,910,5926,0.0438,8.2583,0,172,160,0
tests18_990.point,990,7107,0.0746,10.9368,0,176,161,0
tests3_970.point,970,6786,0.06,10.4866,0,177,165,0
tests15_720.point,720,3780,0.0296,4.5083,0,175,160,0
tests13_780.point,780,4391,0.0278,5.3932,0,171,163,0
tests9_780.point,780,4356,0.0279,4.6511,0,169,167,0
tests11_630.point,630,2805,0.017,2.6458,0,178,157,0
tests5_860.point,860,5275,0.0347,6.0696,0,177,160,0
tests8_830.point,830,5073,0.0314,5.8166,0,172,157,0
tests14_950.point,950,6480,0.0392,8.3121,0,175,168,0
tests17_620.point,620,2814,0.0215,2.4997,0,168,146,0
tests15_840.point,840,5105,0.0302,5.8764,0,167,154,0
tests15_680.point,680,3420,0.0209,3.287,0,173,162,0
tests10_590.point,590,2567,0.015,2.2265,0,164,155,0
tests4_840.point,840,5253,0.0319,5.9672,0,171,159,0
tests9_540.point,540,1991,0.0129,1.8346,0,176,151,0
tests9_870.point,870,5437,0.0333,6.6923,0,172,158,0
tests4_660.point,660,3051,0.0193,3.6945,0,172,161,0
tests4_600.point,600,2613,0.0167,2.7959,0,167,155,0
tests3_570.point,570,2229,0.0237,2.6759,0,177,157,0
tests12_810.point,810,4727,0.0306,6.3136,0,175,160,0
tests10_800.point,800,4578,0.0394,6.5073,0,174,162,0
tests3_950.point,950,6545,0.0398,9.8946,0,175,166,0
tests3_640.point,640,2917,0.0188,2.941,0,180,159,0
tests8_560.point,560,2305,0.0161,2.0718,0,177,156,0
tests4_800.point,800,4670,0.0596,6.2436,0,176,161,0
tests10_640.point,640,3000,0.0206,3.4244,0,180,162,0
tests7_660.point,660,3079,0.0345,3.3385,0,178,161,0
tests19_720.point,720,3759,0.0229,4.4163,0,170,153,0
tests11_710.point,710,3635,0.0242,3.6419,0,171,153,0
tests7_560.point,560,2151,0.015,1.8874,0,172,160,0
tests12_880.point,880,5690,0.0344,6.8287,0,181,160,0
tests0_840.point,840,5032,0.0303,5.735,0,180,163,0
tests11_1000.point,1000,7453,0.0418,9.7347,0,181,155,0
tests0_870.point,870,5464,0.0323,6.3446,0,174,167,0
