File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
input512,512,2418,0.0127,1.5691,0,136,123,0
input778,778,5301,0.0259,4.9848,0,150,136,0
input1075,1075,9988,0.0455,12.3108,0,166,146,0
input697,697,4317,0.0204,3.7668,0,148,132,0
input833,833,5967,0.0281,6.06,0,150,143,0
input539,539,2458,0.0133,1.8866,0,151,137,0
input856,856,6275,0.0311,6.7075,0,162,143,0
input800,800,5469,0.0272,5.3655,0,153,138,0
input1222,1222,12812,0.0592,18.2038,0,174,156,0
input931,931,7306,0.0341,8.7838,0,161,154,0
input586,586,2941,0.0148,2.3125,0,144,138,0
input1367,1367,15565,0.0754,24.915,0,169,166,0
input1390,1390,16378,0.073,29.1147,0,167,155,0
input1127,1127,10845,0.0503,14.6334,0,153,149,0
input1245,1245,13236,0.0624,20.7071,0,160,167,0
input938,938,7580,0.0376,9.0366,0,153,147,0
input355,355,1407,0.0067,0.7275,0,115,108,0
input563,563,2739,0.0169,2.2343,0,152,142,0
input417,417,1562,0.0113,1.1054,0,148,132,0
input865,865,6571,0.03,6.9787,0,156,141,0
input604,604,3100,0.016,2.5201,0,154,143,0
input1194,1194,12060,0.0574,16.8928,0,158,157,0
input782,782,5210,0.026,5.1001,0,165,145,0
input948,948,7643,0.0405,8.7726,0,158,144,0
input876,876,6584,0.0326,7.0541,0,166,152,0
input648,648,3546,0.0177,3.2493,0,147,137,0
input1270,1270,13723,0.0646,20.4983,0,161,152,0
input474,474,1925,0.0103,1.3579,0,150,135,0
input784,784,5219,0.0278,4.9632,0,159,140,0
input872,872,6872,0.0327,6.9587,0,158,139,0
input445,445,1771,0.0105,1.6034,0,137,119,0
input1298,1298,14094,0.0724,22.8969,0,163,157,0
input1387,1387,16158,0.0757,28.4508,0,167,153,0
input1284,1284,14049,0.0669,22.3355,0,165,157,0
input440,440,1675,0.0089,1.136,0,146,133,0
input556,556,2669,0.0146,1.9854,0,144,136,0
input731,731,4354,0.0226,4.4674,0,158,152,0
input437,437,1682,0.0103,1.1523,0,151,127,0
input1386,1386,16373,0.0741,27.7843,0,164,159,0
input870,870,6577,0.0335,6.8299,0,162,149,0
input917,917,7121,0.0342,8.1937,0,157,148,0
input1086,1086,9971,0.0464,12.8862,0,174,159,0
input402,402,1444,0.0087,0.9178,0,142,124,0
input5,5,7,0.0001,0.0003,0,3,1,0
input531,531,2347,0.014,1.7475,0,155,139,0
input819,819,5781,0.0293,5.7121,0,156,144,0
input1167,1167,11763,0.0558,16.3547,0,157,149,0
input632,632,3477,0.0186,2.881,0,152,137,0
input527,527,2424,0.0124,1.7705,0,146,139,0
input1176,1176,11674,0.0555,17.782,0,164,156,0
input1205,1205,12528,0.0627,21.9742,0,161,146,0
input1139,1139,11042,0.0589,15.6267,0,162,149,0
input1251,1251,13421,0.06,21.6825,0,157,151,0
input1243,1243,12963,0.0744,19.6138,0,178,168,0
input918,918,7193,0.0565,10.1568,0,159,144,0
input713,713,4457,0.0288,6.2035,0,146,144,0
input1264,1264,13549,0.2922,42.5145,0,172,155,0
input862,862,6435,0.0537,20.6295,0,162,148,0
input686,686,3906,0.0566,8.3776,0,167,143,0
input553,553,2619,0.0479,5.7668,0,153,139,0
input792,792,5363,0.0702,12.5842,0,148,150,0
input622,622,3413,0.032,6.8209,0,152,138,0
input1120,1120,10657,0.0855,28.8867,0,163,148,0
input703,703,4103,0.039,8.0895,0,143,138,0
input1275,1275,13838,0.1199,48.5377,0,158,167,0
input1295,1295,14218,0.0703,38.8981,0,153,154,0
input1373,1373,16189,0.093,29.4716,0,163,155,0
