File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
tests11_680.point,680,3257,0.0618,8.5195,0,169,156,0
tests1_860.point,860,5349,0.0893,15.4674,0,178,162,0
tests19_700.point,700,3671,0.0474,9.2569,0,171,163,0
tests11_580.point,580,2403,0.0381,5.2916,0,176,156,0
tests3_810.point,810,4736,0.0685,12.9314,0,175,168,0
tests2_910.point,910,6016,0.0981,20.606,0,167,160,0
tests6_690.point,690,3427,0.0606,8.3392,0,183,157,0
tests3_870.point,870,5312,0.0837,15.628,0,181,170,0
tests14_660.point,660,3106,0.0469,7.8183,0,166,156,0
tests14_810.point,810,4643,0.0812,12.9521,0,174,154,0
tests0_600.point,600,2608,0.0448,5.5816,0,172,155,0
tests6_850.point,850,5144,0.0912,13.6989,0,171,163,0
tests2_520.point,520,1895,0.0271,3.842,0,173,159,0
tests0_520.point,520,1910,0.0322,3.7687,0,180,151,0
tests10_830.point,830,4866,0.08,13.2307,0,168,159,0
tests13_740.point,740,3893,0.072,9.9228,0,169,157,0
tests17_570.point,570,2389,0.0377,5.0949,0,174,157,0
tests16_790.point,790,4631,0.0786,12.7466,0,177,154,0
tests13_690.point,690,3557,0.0571,8.9939,0,174,161,0
tests6_1000.point,1000,6999,0.1266,24.4297,0,184,164,0
tests6_500.point,500,1779,0.0246,3.701,0,167,154,0
tests15_560.point,560,2257,0.0328,4.9592,0,169,148,0
tests19_910.point,910,5895,0.1195,18.6044,0,182,176,0
tests9_800.point,800,4630,0.031,7.0729,0,180,160,0
tests12_730.point,730,3896,0.0322,4.96,0,173,159,0
tests11_540.point,540,2112,0.0185,3.3587,0,169,157,0
tests9_970.point,970,6708,0.051,10.2751,0,177,168,0
tests14_750.point,750,4065,0.0317,4.9386,0,178,165,0
tests15_820.point,820,4842,0.0391,6.6104,0,183,158,0
tests16_570.point,570,2245,0.0198,2.4397,0,181,162,0
tests4_1000.point,1000,7339,0.0531,11.2304,0,175,166,0
