File,V,E,TalgoLi&,TalgoA,TalgoX,NBalgoLi&,NBalgoA,NBalgoX
extractRollernet7600,61,718,0.0016,0.0705,0,9,6,0
extractRollernet5800,61,739,0.0014,0.0554,0,6,4,0
extractRollernet7800,60,708,0.0014,0.0479,0,6,5,0
extractRollernet1400,62,685,0.0016,0.0659,0,9,4,0
extractRollernet9400,59,391,0.0011,0.0344,0,15,7,0
extractRollernet8600,60,447,0.0011,0.0365,0,10,6,0
extractRollernet4000,61,733,0.0015,0.0513,0,7,4,0
extractRollernet1200,58,531,0.0014,0.0441,0,10,7,0
extractRollernet3600,62,677,0.0014,0.0514,0,8,3,0
extractRollernet8000,59,422,0.0011,0.03,0,15,8,0
extractRollernet1800,62,626,0.0014,0.0436,0,11,6,0
extractRollernet7400,60,583,0.0013,0.0443,0,9,5,0
extractRollernet5600,62,623,0.0014,0.0492,0,11,4,0
extractRollernet6200,61,688,0.0015,0.0426,0,11,8,0
extractRollernet6600,61,436,0.0011,0.0386,0,15,9,0
extractRollernet8400,59,385,0.0011,0.0296,0,15,10,0
extractRollernet600,40,227,0.0007,0.0152,0,12,7,0
extractRollernet3000,62,668,0.0014,0.0498,0,9,4,0
extractRollernet7200,60,552,0.0013,0.0432,0,17,9,0
extractRollernet1000,57,552,0.0012,0.0359,0,10,7,0
extractRollernet4600,62,642,0.0014,0.0446,0,11,8,0
extractRollernet3200,62,638,0.0013,0.0489,0,9,4,0
extractRollernet5400,62,755,0.0015,0.0514,0,6,5,0
extractRollernet9000,60,510,0.0013,0.038,0,14,7,0
extractRollernet8200,59,479,0.0014,0.036,0,15,6,0
extractRollernet4200,62,675,0.0014,0.0532,0,9,4,0
extractRollernet2200,62,753,0.0015,0.053,0,8,4,0
extractRollernet2400,62,665,0.0014,0.0461,0,10,7,0
extractRollernet4800,62,731,0.0016,0.0568,0,8,7,0
extractRollernet6400,59,666,0.0014,0.0447,0,8,5,0
extractRollernet8800,60,423,0.0012,0.0319,0,18,9,0
extractRollernet6000,61,574,0.002,0.0427,0,10,6,0
extractRollernet800,56,430,0.0012,0.0328,0,10,8,0
extractRollernet1600,62,547,0.0013,0.0437,0,10,6,0
extractRollernet9200,59,420,0.0011,0.0342,0,12,6,0
extractRollernet400,25,73,0.0003,0.0047,0,12,6,0
extractRollernet4400,62,475,0.0012,0.0382,0,12,7,0
extractRollernet2800,62,706,0.0015,0.0531,0,8,5,0
extractRollernet5200,62,564,0.0013,0.0478,0,8,5,0
extractRollernet2000,62,735,0.0015,0.0545,0,10,5,0
extractRollernet9800,58,320,0.0012,0.0305,0,16,10,0
extractRollernet2600,62,625,0.0016,0.0558,0,8,5,0
extractRollernet0,6,11,0.0001,0.0009,0,3,1,0
extractRollernet5000,62,651,0.0014,0.0507,0,9,4,0
extractRollernet3400,62,751,0.0014,0.0513,0,7,4,0
extractRollernet3800,61,640,0.0016,0.05,0,9,6,0
extractRollernet9600,59,384,0.0012,0.0323,0,16,10,0
